qty,category,item,requirement,status_for_current_build,notes
1,equipment,YIHUA YH-853AAA,"Preheater + low-airflow hot air",existing,"120x120 mm preheater; use moderate low-temp profile"
1,tool,IceDrone V3.4 stencil,"Matches 70x30 mm PCB paste apertures",existing,"Stencil may be larger than PCB; it is removed before heating"
1,consumable,Sn42Bi58 solder paste,"Lead-free eutectic; 138 C melting point; stencil/SMT grade",ordered,"BEEYUIHF 30 g; follow label/storage instructions if they differ"
1,consumable,Kapton high-temperature tape,"Narrow tape suitable for stencil hinge and thermocouple",existing,"Keep tape off pads/apertures"
1,tool,Squeegee or rigid plastic card,"Straight undamaged edge",required,"45-60 degree print angle"
2-4,fixture,FR4/old-PCB shims,"Same thickness as IceDrone PCB",recommended,"Support oversized stencil so it stays planar"
1,cleaning,Isopropyl alcohol,"Prefer 99% electronics grade",recommended,"PCB pre-clean and stencil clean"
1 pack,cleaning,Lint-free wipes,"Low-lint electronics wipes",recommended,"Do not leave fibers in stencil apertures"
1 pair,tool,ESD fine tweezers,"Fine tip; straight or curved",required,"Place SMD parts without smearing paste"
1,tool,Magnifier or microscope,"Enough resolution for SOT-23 and small passives",strongly recommended,"Inspect paste print and joints"
1,measurement,K-type thermocouple + meter,"Thin bead probe",strongly recommended,"Measure actual PCB temperature; station display is not pad temperature"
1,safety,ESD mat/wrist strap,"Electronics-safe ESD setup",recommended,"Especially before XIAO/sensor handling"
1,safety,Fume extraction,"Local extraction or well-ventilated workstation",recommended,"Flux vapors should not be inhaled"
1,consumable,No-clean flux,"Electronics flux compatible with lead-free rework",existing/ordered,"For rework only; do not spread under stencil paste"
1,consumable,Desoldering braid,"Fine 1.0-1.5 mm",recommended,"Correct bridges/excess solder with flux"
1,tool,Heat-resistant work mat,"Flat and stable",recommended,"For printing/placement away from preheater"
1 pair,safety,Nitrile gloves,"Powder-free",optional,"Useful when cleaning/handling paste; still wash hands"
1,organization,SMD parts tray,"Labeled compartments",recommended,"Keep designators/orientations traceable"
