Class,Net/Part,From,To,Type/Value,Notes
BARE,VBAT,A1,A24,bare copper,continuous VBAT rail
BARE,GND,J1,J24,bare copper,continuous GND rail
BARE,M1_VBAT,A2,B2,bare copper,motor + branch
BARE,M1_DRAIN,C2,D2,bare copper,motor- to MOSFET drain
BARE,Q1_SOURCE_GND,E2,J2,bare copper,MOSFET source to GND
BARE,R5_GND,F4,J4,bare copper,M1 gate pulldown to GND
BARE,M2_VBAT,A6,B6,bare copper,motor + branch
BARE,M2_DRAIN,C6,D6,bare copper,motor- to MOSFET drain
BARE,Q2_SOURCE_GND,E6,J6,bare copper,MOSFET source to GND
BARE,R6_GND,F8,J8,bare copper,M2 gate pulldown to GND
BARE,M3_VBAT,A14,B14,bare copper,motor + branch
BARE,M3_DRAIN,C14,D14,bare copper,motor- to MOSFET drain
BARE,Q3_SOURCE_GND,E14,J14,bare copper,MOSFET source to GND
BARE,R7_GND,F16,J16,bare copper,M3 gate pulldown to GND
BARE,M4_VBAT,A19,B19,bare copper,motor + branch
BARE,M4_DRAIN,C19,D19,bare copper,motor- to MOSFET drain
BARE,Q4_SOURCE_GND,E19,J19,bare copper,MOSFET source to GND
BARE,R8_GND,F21,J21,bare copper,M4 gate pulldown to GND
BARE,C1_VBAT,A10,B10,bare copper,470uF + feed
BARE,C1_GND,C10,J10,bare copper,470uF - to GND
BARE,C2_VBAT,A11,B11,bare copper,100uF + feed
BARE,C2_GND,C11,J11,bare copper,100uF - to GND
BARE,BOOST_VBAT,A13,A13,bare copper,boost VIN+ pickup
BARE,XIAO_GND,I13,J13,bare copper,XIAO/boost common GND
BARE,ADC_VBAT,A17,B17,bare copper,battery divider feed
BARE,ADC_GND,D17,J17,bare copper,battery divider lower node to GND
BARE,GIMBAL_VBAT,A18,H18,bare copper,FH-1502 + from battery
INSULATED,M1_PWM,F3,B9,28-30AWG insulated,GPIO4 / D3
INSULATED,M2_PWM,F7,C9,28-30AWG insulated,GPIO44 / D7; changed from GPIO3
INSULATED,M3_PWM,F15,D9,28-30AWG insulated,GPIO6 / D5
INSULATED,M4_PWM,F20,E9,28-30AWG insulated,GPIO5 / D4
INSULATED,ADC_SIGNAL,C17,F9,28-30AWG insulated,GPIO1 / D0
INSULATED,GIMBAL_PWM,I9,I18,28-30AWG insulated,GPIO42; Sense microphone CLK unavailable
INSULATED,GY91_3V3,G13,G23,28-30AWG insulated,3V3 sensor supply
INSULATED,VL6180X_3V3,G13,F24,28-30AWG insulated,3V3 to breakout VIN
INSULATED,I2C_SDA_GY,G9,H23,28-30AWG insulated,GPIO2 / D1
INSULATED,I2C_SCL_GY,H9,I23,28-30AWG insulated,GPIO43 / D6
INSULATED,I2C_SDA_VL,G9,H24,28-30AWG insulated,GPIO2 / D1
INSULATED,I2C_SCL_VL,H9,I24,28-30AWG insulated,GPIO43 / D6
COMPONENT,M1+,B2,,MOTOR_PAD,Rear-left motor +
COMPONENT,M1-,C2,,MOTOR_PAD,Rear-left motor -
COMPONENT,D1,C2,B2,SS34,"flyback: anode C2, cathode/band B2"
COMPONENT,Q1_D,D2,,AO3400A_D,drain
COMPONENT,Q1_S,E2,,AO3400A_S,source
COMPONENT,Q1_G,E3,,AO3400A_G,gate
COMPONENT,R1,E3,F3,100R,series gate resistor
COMPONENT,R5,E3,F4,100k,gate pulldown
COMPONENT,M2+,B6,,MOTOR_PAD,Rear-right motor +
COMPONENT,M2-,C6,,MOTOR_PAD,Rear-right motor -
COMPONENT,D2,C6,B6,SS34,"flyback: anode C6, cathode/band B6"
COMPONENT,Q2_D,D6,,AO3400A_D,drain
COMPONENT,Q2_S,E6,,AO3400A_S,source
COMPONENT,Q2_G,E7,,AO3400A_G,gate
COMPONENT,R2,E7,F7,100R,series gate resistor
COMPONENT,R6,E7,F8,100k,gate pulldown
COMPONENT,M3+,B14,,MOTOR_PAD,Front-right motor +
COMPONENT,M3-,C14,,MOTOR_PAD,Front-right motor -
COMPONENT,D3,C14,B14,SS34,"flyback: anode C14, cathode/band B14"
COMPONENT,Q3_D,D14,,AO3400A_D,drain
COMPONENT,Q3_S,E14,,AO3400A_S,source
COMPONENT,Q3_G,E15,,AO3400A_G,gate
COMPONENT,R3,E15,F15,100R,series gate resistor
COMPONENT,R7,E15,F16,100k,gate pulldown
COMPONENT,M4+,B19,,MOTOR_PAD,Front-left motor +
COMPONENT,M4-,C19,,MOTOR_PAD,Front-left motor -
COMPONENT,D4,C19,B19,SS34,"flyback: anode C19, cathode/band B19"
COMPONENT,Q4_D,D19,,AO3400A_D,drain
COMPONENT,Q4_S,E19,,AO3400A_S,source
COMPONENT,Q4_G,E20,,AO3400A_G,gate
COMPONENT,R4,E20,F20,100R,series gate resistor
COMPONENT,R8,E20,F21,100k,gate pulldown
COMPONENT,M1_PWM_PAD,B9,,XIAO_SIGNAL,M1 -> GPIO4/D3
COMPONENT,M2_PWM_PAD,C9,,XIAO_SIGNAL,M2 -> GPIO44/D7
COMPONENT,M3_PWM_PAD,D9,,XIAO_SIGNAL,M3 -> GPIO6/D5
COMPONENT,M4_PWM_PAD,E9,,XIAO_SIGNAL,M4 -> GPIO5/D4
COMPONENT,ADC_PAD,F9,,XIAO_SIGNAL,VBAT ADC -> GPIO1/D0
COMPONENT,SDA_PAD,G9,,XIAO_SIGNAL,I2C SDA -> GPIO2/D1
COMPONENT,SCL_PAD,H9,,XIAO_SIGNAL,I2C SCL -> GPIO43/D6
COMPONENT,GIMBAL_PWM_PAD,I9,,XIAO_SIGNAL,gimbal -> GPIO42
COMPONENT,C1,B10,C10,470uF_10V,"low-ESR, + B10 / - C10"
COMPONENT,C2,B11,C11,100uF_10V,+ B11 / - C11
COMPONENT,BAT+,A12,,BT2.0,Battery +
COMPONENT,BAT-,J12,,BT2.0,Battery -
COMPONENT,BOOST_5V_IN,G12,,PAD,regulated 5V output from off-board 1S->5V boost
COMPONENT,D5,G12,H12,SCHOTTKY_1A,"anode G12, cathode/band H12; isolates XIAO 5V input"
COMPONENT,XIAO_5V,H12,,XIAO_POWER,to XIAO 5V pin
COMPONENT,BOOST_VIN+,A13,,PAD,to off-board boost VIN+
COMPONENT,BOOST_GND,J13,,PAD,to off-board boost GND
COMPONENT,XIAO_3V3,G13,,XIAO_POWER,3V3 output from XIAO
COMPONENT,XIAO_GND,I13,,XIAO_POWER,XIAO GND
COMPONENT,R9,B17,C17,100k,upper divider
COMPONENT,R10,C17,D17,100k,lower divider
COMPONENT,C3,C17,D17,100nF,"ADC anti-noise filter, parallel with R10"
COMPONENT,FH+,H18,,HEADER,FH-1502 +
COMPONENT,FH_PWM,I18,,HEADER,FH-1502 PWM
COMPONENT,FH_GND,J18,,HEADER,FH-1502 GND
COMPONENT,GY_3V3,G23,,HEADER,GY-91 3V3
