Function,XIAO pin/GPIO,Direction,Notes
IMU/GY-91 SDA,D1 / GPIO2,I/O,I2C; V3.4 custom SDA
IMU/GY-91 SCL,D6 / GPIO43,Output,I2C; V3.4 custom SCL
VL6180X SDA,D1 / GPIO2,I/O,Shared I2C bus
VL6180X SCL,D6 / GPIO43,Output,Shared I2C bus
Motor rear-left,D3 / GPIO4,Output,10 kHz PWM to AO3400A gate
Motor rear-right,D7 / GPIO44,Output,10 kHz PWM to AO3400A gate; V3.4 changed from GPIO3
Motor front-right,D5 / GPIO6,Output,10 kHz PWM to AO3400A gate
Motor front-left,D4 / GPIO5,Output,10 kHz PWM to AO3400A gate
Battery ADC,D0 / GPIO1,Input,External 100k/100k divider plus 100nF filter
Gimbal PWM,GPIO42 test pad,Output,FH-1502 PWM; conflicts with Sense PDM microphone clock
Camera,internal Sense B2B GPIO10-18/38-40/47-48,I/O,Do not reassign
microSD,GPIO7/8/9/21,I/O,Preserved in V3.4; GPIO3 also left unused
